Project,Github URL
Langgraph swarm,https://github.com/langchain-ai/langgraph-swarm-py
Archon,https://github.com/coleam00/Archon
Agent-S,https://github.com/simular-ai/Agent-S
Eko,https://github.com/FellouAI/eko
Volt Agent,https://github.com/VoltAgent/voltagent
Nvidia AgentiQ,https://github.com/NVIDIA/AgentIQ
Rowboat,https://github.com/rowboatlabs/rowboat
Ax Agent Framework,https://github.com/ax-llm/ax
Google ADK,https://github.com/google/adk-python
Deerflow,https://github.com/bytedance/deer-flow
Suna,https://github.com/kortix-ai/suna
Cloudflare Agents,https://github.com/cloudflare/agents
Typed AI,https://github.com/TrafficGuard/typedai
IBM BeeAI,https://github.com/i-am-bee/beeai-framework
Langflow,https://github.com/langflow-ai/langflow
Water,https://github.com/manthanguptaa/water
Agentflow,https://github.com/simonmesmith/agentflow
Parlant,https://github.com/emcie-co/parlant
Spin AI,https://github.com/Fallomai/spinai
Magma,https://github.com/pompeii-labs/magma
Pocket Flow,https://the-pocket-world.github.io/Pocket-Flow-Framework/
AIdent,https://github.com/Aident-AI/open-cuak
Agno (formerly Phidata) ,https://github.com/phidatahq/phidata
Pippin,https://github.com/pippinlovesyou/pippin
OpenHands,https://github.com/All-Hands-AI/OpenHands
Griptape,https://github.com/griptape-ai/griptape
n8n,https://github.com/n8n-io/n8n
Agentstack,https://github.com/AgentOps-AI/AgentStack
GPT Researcher,https://github.com/assafelovic/gpt-researcher
Flowise,https://github.com/FlowiseAI/Flowise
Semantic Kernel (Microsoft),https://github.com/microsoft/semantic-kernel
SuperAGI,https://github.com/TransformerOptimus/SuperAGI
Autogen,https://github.com/microsoft/autogen
Pyspur,https://github.com/PySpur-Dev/pyspur
AgentVerse,https://github.com/OpenBMB/AgentVerse
Letta / MemGPT,https://github.com/cpacker/MemGPT
BabyAGI,https://github.com/yoheinakajima/babyagi
Agent Zero,https://github.com/frdel/agent-zero
Camel AI,https://github.com/camel-ai/camel
HuggingFace SmolAgents,https://github.com/huggingface/smolagents
Potpie,https://github.com/potpie-ai/potpie
Integuru,https://github.com/Integuru-AI/Integuru
Langbase,https://github.com/LangbaseInc/BaseAI
Dan Miessler's Fabric,GitHub - danielmiessler/fabric: fabric is an open-source framework for augmenting humans using AI. It provides a modular framework for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.
Motia,https://github.com/MotiaDev/motia
Rivet,https://github.com/rivet-gg/rivet
CrewAI,https://github.com/crewaiinc/crewai
Ag2 (Nov 24 Autogen fork),https://github.com/ag2ai/ag2
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT
Dify,https://github.com/langgenius/dify
Pydantic AI,https://github.com/pydantic/pydantic-ai
Atomic Agents,https://github.com/BrainBlend-AI/atomic-agents
Julep,https://github.com/julep-ai/julep
DSPy, https://github.com/stanfordnlp/dspy
