repo_name,version,package_name
"adk-python","1.2.1","google-adk"
"ag2","0.9.2","ag2"
"Agent-S","no .venv",""
"agent-zero","no .venv",""
"AgentIQ","no .venv",""
"agents","no .venv",""
"AgentStack","0.3.6","agentstack"
"AgentVerse","no .venv",""
"agno","1.5.10","agno"
"Archon","no .venv",""
"atomic-agents","1.1.3","atomic-agents"
"autogen","0.6.1","autogen-agentchat"
"AutoGPT","no .venv",""
"ax","no .venv",""
"babyagi","0.1.4","babyagi"
"BaseAI","no .venv",""
"beeai-framework","0.1.24","beeai-framework"
"camel","0.2.62","camel-ai"
"crewai","0.126.0","crewai"
"deer-flow","no .venv",""
"dify","no .venv",""
"dspy","2.6.27","dspy"
"eko","no .venv",""
"Flowise","no .venv",""
"gpt-researcher","no .venv",""
"griptape","1.7.3","griptape"
"julep","no .venv",""
"langflow","1.4.2","langflow"
"langgraph","0.3.25","langchain"
"magma","no .venv",""
"MemGPT","no .venv",""
"motia","no .venv",""
"n8n","no .venv",""
"open-cuak","no .venv",""
"OpenHands","no .venv",""
"parlant","no .venv",""
"pippin","no .venv",""
"potpie","no .venv",""
"pydantic-ai","0.2.16","pydantic-ai"
"pyspur","no .venv",""
"python-packages","no .venv",""
"rowboat","no .venv",""
"semantic-kernel","1.32.2","semantic-kernel"
"smolagents","1.17.0","smolagents"
"spinai","no .venv",""
"suna","no .venv",""
"SuperAGI","no .venv",""
"typedai","no .venv",""
"voltagent","no .venv",""
"water","0.1.0","water-ai"
